city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
sj,1991,17,1991-04-23,,0.18845,0.1883143,0.2249429,32.72,298.074285714,298.235714286,294.028571429,299.6,296.7,19.7,78.4471428571,32.72,15.4614285714,2.3,26.5285714286,8.01428571429,32.8,21.7,3.5
sj,1991,20,1991-05-14,,0.10455,0.15115,0.0964,4.16,298.325714286,298.407142857,294.618571429,300.1,296.6,35.37,80.0671428571,4.16,15.9742857143,2.5,26.5285714286,6.58571428571,30.6,22.8,32.8
sj,1991,27,1991-07-02,,0.1779333,0.2015286,0.1981571,26.7,299.371428571,299.385714286,295.945714286,302.4,297.4,51.99,81.6942857143,26.7,17.3528571429,2.14285714286,28.3714285714,6.6,32.8,23.9,24.7
sj,1991,28,1991-07-09,0.0969,,0.13805,0.1679167,6.13,300.001428571,300.171428571,295.791428571,302.1,297.9,18.7,77.8771428571,6.13,17.1514285714,2.42857142857,28.4142857143,6.67142857143,32.8,24.4,4.6
sj,1991,29,1991-07-16,,0.07733333,0.09982857,0.1166429,29.67,300.234285714,300.342857143,296.081428571,302.2,298.6,23.6,78.2414285714,29.67,17.4728571429,2.42857142857,28.8,6.91428571429,33.9,23.9,12.2
sj,1991,31,1991-07-30,,,0.1906429,0.1593286,48.41,299.852857143,299.964285714,296.478571429,302.0,298.3,34.39,81.8971428571,48.41,17.8785714286,2.3,28.5714285714,6.34285714286,33.3,25.0,18.0
sj,1991,33,1991-08-13,0.0593,,0.1551,0.1567,0.0,300.42,300.65,296.484285714,302.8,298.7,20.4,79.1971428571,0.0,17.9114285714,2.18571428571,29.4285714286,5.47142857143,33.3,25.6,3.3
sj,1991,51,1991-12-17,,0.04613333,0.1144,0.04045714,0.0,298.084285714,298.135714286,292.865714286,299.6,296.6,8.76,72.8614285714,0.0,14.3357142857,2.07142857143,25.0,6.15714285714,28.9,20.6,6.1
sj,1992,1,1992-01-01,0.1251,0.1578667,0.1852833,0.1813667,,,,,,,,,,,,,,,,
sj,1992,5,1992-01-29,,0.0483,0.1736714,0.1919286,0.0,297.42,297.55,292.718571429,299.3,295.5,6.5,75.22,0.0,14.1857142857,2.44285714286,24.8,6.58571428571,28.9,20.0,9.2
sj,1992,7,1992-02-12,,0.1305,0.1957429,0.1788571,,297.798571429,298.057142857,294.65,300.2,295.3,20.1,82.8757142857,,16.06,2.2,26.0285714286,6.57142857143,32.2,20.0,1.3
sj,1992,8,1992-02-19,,0.1844667,0.1946143,0.2030571,,297.898571429,298.107142857,293.628571429,300.1,296.3,4.4,77.2957142857,,15.0128571429,2.58571428571,25.7571428571,7.38571428571,33.9,21.7,8.9
sj,1992,9,1992-02-26,0.10705,0.0815,0.1652429,0.1630571,,297.472857143,297.678571429,292.967142857,299.3,296.3,14.4,76.0371428571,,14.3814285714,2.41428571429,25.2857142857,6.17142857143,29.4,21.7,16.0
sj,1992,10,1992-03-04,,0.18218,0.1910857,0.1928571,0.0,297.651428571,297.8,293.317142857,299.8,295.7,5.5,76.8785714286,0.0,14.7014285714,2.31428571429,25.6571428571,7.81428571429,31.1,20.6,2.9
sj,1992,13,1992-03-25,,,0.1348429,0.1068,0.0,297.218571429,297.428571429,293.578571429,300.3,295.8,21.0,80.2385714286,0.0,14.9685714286,2.8,26.2,5.71428571429,32.2,22.2,2.3
sj,1992,22,1992-05-27,0.1215,,0.2191571,0.2130143,186.25,298.615714286,298.75,296.334285714,301.4,297.0,130.3,87.3014285714,186.25,17.8328571429,2.35714285714,27.4285714286,5.95714285714,31.7,23.9,80.2
sj,1992,28,1992-07-08,,0.192,0.1468571,0.1530714,1.86,300.285714286,300.564285714,296.198571429,302.2,298.7,5.4,78.4971428571,1.86,17.5685714286,2.78571428571,28.7285714286,6.61428571429,32.8,24.4,1.8
sj,1992,36,1992-09-02,,0.2175,0.1240143,0.1256571,61.55,300.108571429,300.157142857,296.175714286,302.0,298.4,34.36,79.2042857143,61.55,17.5642857143,2.2,28.7285714286,7.48571428571,34.4,24.4,6.5
sj,1992,51,1992-12-16,,0.066425,0.1923429,0.1941286,0.0,298.285714286,298.507142857,293.828571429,300.7,296.4,24.94,76.6614285714,0.0,15.2514285714,2.64285714286,26.6857142857,8.38571428571,32.2,21.7,47.5
sj,1993,53,1993-01-01,,,,,,,,,,,,,,,,,,,,
sj,1993,3,1993-01-22,,0.11345,0.2260571,0.2200286,0.0,297.401428571,297.628571429,293.075714286,299.5,296.2,11.2,76.9842857143,0.0,14.49,2.2,24.8571428571,7.12857142857,30.0,20.0,6.6
sj,1993,8,1993-02-26,,0.1339,0.2699286,0.2615857,0.0,296.768571429,296.871428571,292.301428571,300.1,294.6,21.5,76.2171428571,0.0,13.8271428571,2.77142857143,25.7,7.3,32.2,20.6,5.5
sj,1993,14,1993-04-09,,0.0423,0.1903667,0.2082143,7.49,297.745714286,297.892857143,293.752857143,300.1,296.2,14.2,78.5642857143,7.49,15.1628571429,2.35714285714,27.2,7.71428571429,32.8,21.1,4.6
sj,1993,17,1993-04-30,,0.09256667,0.1315167,0.1252286,33.35,298.591428571,298.692857143,295.194285714,300.4,297.0,34.3,81.6557142857,33.35,16.5971428571,2.47142857143,27.4857142857,8.38571428571,32.8,22.2,28.3
sj,1993,23,1993-06-11,0.1206,,0.1537714,0.1484857,8.48,300.658571429,300.735714286,296.978571429,302.8,298.5,20.2,80.6157142857,8.48,18.4914285714,2.64285714286,29.9,7.38571428571,34.4,25.0,1.3
sj,1993,24,1993-06-18,,0.0785,0.2209429,0.2193714,30.65,299.184285714,299.264285714,295.742857143,301.0,297.7,55.5,81.4928571429,30.65,17.13,2.1,27.7285714286,6.78571428571,32.2,23.3,57.9
sj,1993,31,1993-08-06,,0.1488,0.2467667,0.2581143,12.38,300.062857143,300.264285714,296.857142857,302.0,298.3,12.6,82.8828571429,12.38,18.3271428571,2.35714285714,29.0285714286,6.58571428571,32.8,24.4,0.8
sj,1993,42,1993-10-22,0.0129,,0.1347,0.1496857,0.0,300.181428571,300.242857143,296.168571429,302.4,298.0,17.0,78.8071428571,0.0,17.5928571429,2.25714285714,28.2,7.7,33.3,23.9,6.4
sj,1993,44,1993-11-05,,0.1406667,0.1776167,0.1569,0.0,299.885714286,299.921428571,296.007142857,301.9,298.5,16.1,79.5042857143,0.0,17.4414285714,2.3,27.9,7.24285714286,32.8,23.3,4.1
sj,1993,49,1993-12-10,,,0.1632333,0.08283333,5.29,298.218571429,298.192857143,294.52,300.5,296.6,43.4,80.3028571429,5.29,15.9328571429,2.35714285714,26.5285714286,7.08571428571,30.6,21.1,20.8
sj,1994,52,1994-01-01,,,,,5.25,298.527142857,298.778571429,294.401428571,301.0,296.0,3.4,78.0185714286,5.25,15.78,2.44285714286,26.9714285714,8.2,32.8,21.7,0.3
sj,1994,8,1994-02-26,,0.09243333,0.1377571,0.07407143,0.0,297.455714286,297.564285714,292.672857143,299.3,296.1,11.5,74.7885714286,0.0,14.1571428571,2.35714285714,25.7428571429,8.57142857143,30.6,20.6,7.9
sj,1994,9,1994-03-05,,0.1446,0.17415,0.1530833,0.0,297.235714286,297.335714286,293.128571429,300.1,295.4,16.7,77.9157142857,0.0,14.5585714286,2.5,25.3142857143,8.54285714286,30.6,20.6,16.2
sj,1994,16,1994-04-23,,,0.1528286,0.1754571,0.0,297.541428571,297.735714286,292.852857143,299.6,296.3,16.6,75.2471428571,0.0,14.2942857143,2.12857142857,25.9714285714,6.4,30.0,22.2,28.7
sj,1994,24,1994-06-18,-0.0286,,0.1592833,0.2158429,13.82,299.605714286,299.8,295.491428571,301.6,298.3,3.7,78.2928571429,13.82,16.8314285714,2.4,28.3285714286,6.77142857143,32.8,24.4,5.4
sj,1994,31,1994-08-06,,0.1311,0.1752143,0.1122143,26.96,299.575714286,299.635714286,295.362857143,301.7,297.4,22.9,77.7957142857,26.96,16.7085714286,2.21428571429,28.2571428571,6.98571428571,33.3,23.9,48.5
sj,1994,37,1994-09-17,,,0.0955,0.192925,61.11,299.951428571,300.057142857,295.907142857,302.2,298.2,70.4,78.75,61.11,17.3057142857,2.45714285714,28.5571428571,6.9,34.4,23.9,50.8
sj,1994,38,1994-09-24,,,,,39.22,299.885714286,300.035714286,295.961428571,302.3,298.1,50.7,79.3142857143,39.22,17.3542857143,1.98571428571,28.3714285714,6.18571428571,32.2,24.4,34.3
sj,1994,39,1994-10-01,,,,,55.88,299.508571429,299.642857143,295.821428571,301.8,297.7,45.2,80.3728571429,55.88,17.2485714286,2.6,28.0142857143,6.7,33.9,23.3,31.5
sj,1994,40,1994-10-08,,,,,0.63,300.377142857,300.5,295.362857143,302.5,298.7,2.8,74.1171428571,0.63,16.7442857143,2.62857142857,28.7142857143,6.9,34.4,24.4,8.2
sj,1994,41,1994-10-15,,,,,16.7,299.638571429,299.621428571,295.481428571,302.9,297.8,40.8,78.2257142857,16.7,16.9,2.72857142857,28.3285714286,7.65714285714,35.0,23.9,39.2
sj,1994,42,1994-10-22,,,,,75.57,300.238571429,300.4,295.685714286,303.0,298.3,15.81,76.3485714286,75.57,17.1242857143,3.02857142857,28.5714285714,7.44285714286,35.0,23.9,5.4
sj,1994,43,1994-10-29,,,,,111.52,298.811428571,298.857142857,296.171428571,300.5,297.5,64.85,85.4171428571,111.52,17.6414285714,1.65714285714,27.6714285714,7.27142857143,32.8,23.3,39.2
sj,1994,44,1994-11-05,,,,,5.41,299.867142857,300.05,295.845714286,301.9,298.3,15.6,78.6857142857,5.41,17.2642857143,2.32857142857,28.1571428571,6.84285714286,32.2,24.4,1.9
sj,1994,45,1994-11-12,,,,,32.26,299.297142857,299.128571429,295.58,301.5,297.2,36.6,80.0957142857,32.26,16.9842857143,2.22857142857,27.3142857143,6.92857142857,31.7,22.2,54.5
sj,1994,46,1994-11-19,,,,,32.17,299.198571429,299.3,296.174285714,302.2,297.5,47.5,83.5842857143,32.17,17.6442857143,1.77142857143,27.2857142857,7.31428571429,32.8,22.2,47.5
sj,1994,47,1994-11-26,,,,,11.16,299.422857143,299.457142857,296.377142857,301.9,297.6,23.7,83.5028571429,11.16,17.8485714286,2.4,27.8571428571,7.6,33.9,23.3,49.3
sj,1994,48,1994-12-03,,,,,17.52,298.851428571,298.85,294.812857143,300.7,296.3,27.4,78.56,17.52,16.1785714286,2.1,26.8857142857,7.57142857143,31.7,21.1,35.9
sj,1994,49,1994-12-10,,,,,45.95,297.808571429,297.95,295.204285714,299.4,296.6,106.09,85.57,45.95,16.58,1.5,26.3714285714,6.18571428571,30.0,22.2,58.2
sj,1994,50,1994-12-17,,,,,0.0,298.624285714,298.742857143,293.938571429,300.5,297.2,16.5,75.4557142857,0.0,15.3271428571,2.28571428571,26.5857142857,7.47142857143,31.7,21.7,7.4
sj,1994,51,1994-12-24,,,,,0.0,298.581428571,298.692857143,294.211428571,300.6,296.9,12.2,76.9142857143,0.0,15.5957142857,2.72857142857,26.6428571429,8.18571428571,31.7,22.2,12.9
sj,1995,2,1995-01-15,,0.1416333,0.1755714,0.1716143,0.0,298.284285714,298.45,293.308571429,299.9,296.8,3.59,74.0471428571,0.0,14.6985714286,2.35714285714,25.7714285714,7.68571428571,30.0,21.7,10.5
sj,1995,5,1995-02-05,,0.1449,0.21726,0.2099429,0.0,297.35,297.65,293.91,300.2,295.6,43.3,81.4042857143,0.0,15.2742857143,2.15714285714,25.5,7.28571428571,31.7,21.1,26.9
sj,1995,7,1995-02-19,0.0614,,0.1753143,0.2123286,0.0,298.221428571,298.464285714,293.882857143,300.5,295.8,10.07,77.0214285714,0.0,15.2271428571,2.81428571429,26.6285714286,8.65714285714,32.2,20.6,2.8
sj,1995,14,1995-04-09,,0.2494,0.2327857,0.2684143,0.0,297.665714286,297.921428571,292.555714286,300.9,294.6,0.0,73.4,0.0,14.1228571429,3.61428571429,25.9714285714,8.95714285714,32.8,19.4,0.0
sj,1995,15,1995-04-16,,0.03495,0.1719143,0.1489429,5.43,298.56,298.742857143,294.338571429,300.6,296.9,2.1,77.6057142857,5.43,15.7357142857,2.82857142857,27.2857142857,7.78571428571,32.8,22.8,0.0
sj,1995,18,1995-05-07,,0.1521,0.2145429,0.1579714,20.96,298.788571429,299.071428571,294.202857143,301.6,297.3,4.1,76.0728571429,20.96,15.6171428571,2.94285714286,27.8428571429,9.14285714286,34.4,22.2,2.8
sj,1995,22,1995-06-04,,0.2412,0.1024714,0.1095714,178.89,299.602857143,299.607142857,295.992857143,302.0,298.1,20.33,80.7271428571,178.89,17.4114285714,1.95714285714,27.7,7.32857142857,33.3,23.3,9.1
sj,1995,28,1995-07-16,,0.17265,0.24245,0.2196714,25.89,299.944285714,299.978571429,296.582857143,302.0,298.5,60.59,81.96,25.89,18.0128571429,1.95714285714,29.2857142857,7.6,34.4,24.4,21.4
sj,1995,30,1995-07-30,,0.1898,0.0942,0.1322286,101.64,299.988571429,299.957142857,297.244285714,302.3,298.6,62.31,85.0885714286,101.64,18.7771428571,1.6,28.5571428571,6.57142857143,33.3,23.9,43.3
sj,1995,43,1995-10-29,,0.1326,0.1581857,0.1374429,54.74,299.441428571,299.421428571,296.337142857,301.8,297.6,46.4,83.2142857143,54.74,17.8471428571,2.38571428571,27.4714285714,7.25714285714,32.2,23.3,53.6
sj,1995,48,1995-12-03,,0.076375,0.2411714,0.1688714,20.21,299.452857143,299.55,295.837142857,301.4,298.0,13.69,80.6771428571,20.21,17.2571428571,2.07142857143,27.2,7.54285714286,33.3,22.8,13.5
sj,1995,51,1995-12-24,,0.03596667,0.1808571,0.1116571,0.0,298.194285714,298.221428571,293.971428571,300.1,296.5,40.3,77.6371428571,0.0,15.3714285714,1.7,25.7142857143,5.85714285714,30.0,22.2,53.9
sj,1996,8,1996-02-19,,0.0583,0.1627857,0.1252143,7.2,297.882857143,298.092857143,293.698571429,300.0,296.1,16.7,77.7828571429,7.2,15.1257142857,2.72857142857,25.9714285714,7.71428571429,31.7,21.1,22.1
sj,1996,10,1996-03-04,,0.11005,0.1926667,0.1776429,9.96,297.292857143,297.478571429,292.128571429,299.6,295.5,3.2,73.06,9.96,13.6957142857,2.52857142857,25.5714285714,7.91428571429,30.6,20.6,3.3
sj,1996,13,1996-03-25,,-0.0457,0.1378857,0.1538429,0.0,298.188571429,298.364285714,293.084285714,300.4,296.7,2.8,73.4257142857,0.0,14.5285714286,2.92857142857,26.4,9.02857142857,32.2,20.6,0.5
sj,1996,17,1996-04-22,,0.1078,0.1786857,0.1805143,0.0,298.228571429,298.464285714,293.282857143,300.4,297.0,10.9,74.1714285714,0.0,14.7057142857,2.38571428571,26.1285714286,6.4,30.0,22.2,8.2
sj,1996,20,1996-05-13,,0.07175,0.1463,0.1586429,21.7,297.595714286,297.628571429,294.451428571,300.1,296.2,68.2,82.84,21.7,15.7971428571,1.71428571429,25.8428571429,5.54285714286,29.4,22.2,44.8
sj,1996,27,1996-07-01,,0.07375,0.2217833,0.1834333,6.01,299.581428571,299.685714286,295.834285714,301.5,297.5,23.9,80.0614285714,6.01,17.2114285714,1.97142857143,27.9428571429,6.37142857143,32.2,24.4,5.9
sj,1996,32,1996-08-05,,0.05435,0.1329714,0.1440857,34.04,299.137142857,299.121428571,296.408571429,300.7,297.7,67.71,85.01,34.04,17.81,1.7,27.6714285714,5.34285714286,30.6,24.4,31.9
sj,1996,34,1996-08-19,,0.09555,0.3094667,0.2312,110.91,298.984285714,299.042857143,296.128571429,300.7,297.6,68.7,84.3442857143,110.91,17.5228571429,1.97142857143,26.7857142857,6.62857142857,31.1,22.8,80.6
sj,1996,38,1996-09-16,,0.02845,0.1504286,0.1078167,243.55,299.482857143,299.442857143,296.88,301.3,297.6,151.7,85.69,243.55,18.4071428571,1.82857142857,27.0428571429,5.82857142857,31.7,22.8,305.9
sj,1996,42,1996-10-14,,0.0609,0.2202286,0.2358,4.62,299.804285714,299.842857143,296.048571429,301.8,298.2,23.7,79.9571428571,4.62,17.4857142857,2.17142857143,27.5714285714,6.64285714286,31.7,23.3,8.9
sj,1996,47,1996-11-18,,0.039525,0.06076667,0.0578,42.76,298.477142857,298.557142857,295.438571429,300.5,296.8,113.55,83.3971428571,42.76,16.8428571429,1.6,25.8714285714,5.6,29.4,22.2,88.3
sj,1996,48,1996-11-25,,0.1038667,0.1649714,0.1447714,65.18,298.197142857,298.421428571,295.667142857,300.5,296.6,49.0,86.0714285714,65.18,17.1285714286,2.04285714286,25.6142857143,4.58571428571,28.3,22.8,39.5
sj,1996,50,1996-12-09,,0.0495,0.1559143,0.176,0.0,297.827142857,297.978571429,292.662857143,300.6,295.2,3.8,73.2528571429,0.0,14.2457142857,2.75714285714,24.8,6.57142857143,30.0,20.6,3.1
sj,1996,51,1996-12-16,,0.1639,0.1702286,0.1818571,0.0,296.635714286,296.771428571,292.787142857,299.1,295.6,40.7,79.3728571429,0.0,14.3328571429,1.82857142857,24.9571428571,4.7,28.9,21.1,25.4
sj,1997,2,1997-01-08,,0.1839,0.2683714,0.1435857,0.0,297.188571429,297.428571429,293.558571429,299.2,295.6,24.14,80.3,0.0,14.9671428571,2.37142857143,24.6714285714,5.64285714286,27.8,21.1,29.0
sj,1997,9,1997-02-26,,0.04896667,0.15534,0.1579,0.0,297.264285714,297.357142857,292.472857143,298.8,295.7,15.1,74.6314285714,0.0,13.9314285714,2.17142857143,24.4714285714,5.54285714286,27.8,21.1,30.0
sj,1997,10,1997-03-05,,,0.2277,0.2670143,0.0,297.292857143,297.392857143,292.41,299.0,295.5,9.5,74.2557142857,0.0,13.8857142857,2.21428571429,24.5714285714,4.98571428571,27.8,21.1,15.5
sj,1997,11,1997-03-12,,0.0864,0.1700714,0.1512429,0.0,297.138571429,297.35,292.495714286,299.3,295.8,14.3,75.3728571429,0.0,13.9771428571,2.15714285714,24.3571428571,5.78571428571,27.8,21.1,13.8
sj,1997,14,1997-04-02,,0.123,0.1983167,0.1916833,0.0,297.692857143,297.857142857,292.775714286,299.9,295.5,5.9,74.2057142857,0.0,14.2314285714,2.68571428571,25.0857142857,7.45714285714,29.4,20.6,2.9
sj,1997,30,1997-07-23,-0.1562,,0.1646429,0.1496857,41.34,299.958571429,299.942857143,296.602857143,302.7,298.2,73.74,82.1328571429,41.34,18.0457142857,1.77142857143,27.9,6.28571428571,31.7,23.3,51.2
sj,1997,34,1997-08-20,,0.11135,0.1741857,0.1446,20.35,299.761428571,299.8,296.658571429,301.8,298.2,45.7,83.28,20.35,18.0914285714,2.02857142857,28.4142857143,6.51428571429,32.2,24.4,52.3
sj,1997,43,1997-10-22,,0.1966,0.3152429,0.2916429,80.85,299.608571429,299.842857143,296.304285714,302.3,296.4,27.34,82.2342857143,80.85,17.8185714286,3.34285714286,27.7,5.88571428571,32.8,23.9,8.7
sj,1997,44,1997-10-29,,0.1695,0.2978143,0.2102,0.78,300.381428571,300.55,296.101428571,302.3,298.1,7.27,77.5328571429,0.78,17.5514285714,2.7,28.3857142857,5.81428571429,32.8,24.4,0.0
sj,1997,45,1997-11-05,0.07745,,0.1989571,0.1767429,2.08,300.031428571,300.092857143,295.695714286,301.9,298.6,9.5,77.3071428571,2.08,17.0957142857,2.04285714286,27.7428571429,6.11428571429,31.1,23.9,27.1
sj,1997,47,1997-11-19,,-0.1026,0.2017857,0.1477857,50.55,299.491428571,299.528571429,296.312857143,301.8,298.0,40.5,82.7657142857,50.55,17.7385714286,1.8,27.3285714286,6.0,31.1,23.9,6.1
sj,1997,50,1997-12-10,,-0.0448,0.2314143,0.2354714,0.0,300.132857143,300.35,295.152857143,302.0,298.8,0.3,74.2814285714,0.0,16.53,2.67142857143,26.7571428571,8.25714285714,32.2,21.7,0.0
sj,1997,51,1997-12-17,,0.0001,0.2579571,0.2339,0.0,299.638571429,299.664285714,294.795714286,301.6,298.1,3.9,74.7957142857,0.0,16.1457142857,2.47142857143,26.5714285714,7.3,32.2,22.2,1.5
sj,1998,1,1998-01-01,0.0455,0.0478,0.1239857,0.08344286,,,,,,,,,,,,,,,,
sj,1998,8,1998-02-19,,0.0754,0.2395714,0.2387,0.0,297.59,297.835714286,291.901428571,300.2,296.2,3.1,70.7014285714,0.0,13.5128571429,2.24285714286,24.4142857143,6.08571428571,28.9,20.0,8.7
sj,1998,11,1998-03-12,,0.0797,0.1391714,0.1625286,0.0,298.278571429,298.385714286,294.697142857,301.2,295.7,42.78,80.7785714286,0.0,16.0814285714,2.22857142857,25.8142857143,6.9,32.2,21.1,15.1
sj,1998,13,1998-03-26,,0.0731,0.1881667,0.1685,0.0,298.502857143,298.664285714,294.098571429,300.7,296.5,21.0,76.6757142857,0.0,15.48,2.55714285714,26.2285714286,6.9,31.1,22.2,16.5
sj,1998,19,1998-05-07,,0.09693333,0.1582429,0.1198143,0.0,299.132857143,299.292857143,294.827142857,301.3,297.7,17.6,77.3314285714,0.0,16.2214285714,2.18571428571,26.7857142857,6.2,31.1,22.2,6.9
sj,1998,20,1998-05-14,,0.04255,0.1317833,0.1003,55.76,299.2,299.4,295.11,302.9,296.6,10.3,78.4014285714,55.76,16.5028571429,3.62857142857,27.1428571429,7.01428571429,33.9,22.2,7.1
sj,1998,38,1998-09-17,,0.0401,0.1554833,0.14148,35.03,300.587142857,300.607142857,297.275714286,303.0,298.8,33.83,82.3328571429,35.03,18.8471428571,2.18571428571,28.7285714286,6.98571428571,34.4,24.4,39.7
sj,1998,41,1998-10-08,,-0.019,0.1630571,0.1492,33.26,300.712857143,300.742857143,296.921428571,302.9,298.9,28.3,79.9985714286,33.26,18.4185714286,2.34285714286,28.2571428571,5.5,31.7,24.4,25.0
sj,1998,42,1998-10-15,,0.08155,0.1864143,0.1386857,25.94,300.795714286,300.857142857,296.612857143,302.9,299.3,18.5,78.0985714286,25.94,18.0914285714,2.68571428571,27.7571428571,6.31428571429,31.7,23.3,15.5
sj,1998,45,1998-11-05,,-0.00225,0.2212286,0.1698,121.65,299.652857143,299.692857143,296.942857143,301.7,298.5,89.5,85.12,121.65,18.4842857143,1.78571428571,27.4285714286,6.45714285714,31.1,23.3,81.5
sj,1998,47,1998-11-19,,,0.2537429,0.2166143,110.03,298.675714286,298.657142857,296.182857143,300.3,297.3,143.4,86.2142857143,110.03,17.6271428571,1.48571428571,26.7285714286,6.21428571429,30.6,23.3,71.3
sj,1999,53,1999-01-01,,,,,,,,,,,,,,,,,,,,
sj,1999,1,1999-01-08,,-0.0876,0.1887,0.1634167,45.39,298.7,298.814285714,295.097142857,300.7,297.3,17.72,80.5971428571,45.39,16.4528571429,2.42857142857,25.5714285714,5.47142857143,28.9,22.2,16.2
sj,1999,5,1999-02-05,,0.05145,0.2175,0.1739286,0.0,296.772857143,296.757142857,290.955714286,299.3,294.5,14.9,70.1985714286,0.0,12.7414285714,2.0,24.1714285714,5.64285714286,27.8,19.4,18.0
sj,1999,6,1999-02-12,0.0669,,0.2283286,0.2092,0.0,296.668571429,296.785714286,290.552857143,298.9,295.3,4.7,68.6414285714,0.0,12.3657142857,1.91428571429,23.4,7.38571428571,27.8,17.8,2.9
sj,1999,14,1999-04-09,,0.00075,0.2009429,0.2108429,18.76,297.975714286,298.092857143,293.272857143,300.1,295.7,16.2,75.3885714286,18.76,14.7457142857,2.58571428571,25.6142857143,6.02857142857,29.4,21.1,30.8
sj,1999,19,1999-05-14,,0.0578,0.0804,0.08112,46.5,299.098571429,299.121428571,294.572857143,301.0,297.2,14.28,76.3085714286,46.5,15.9671428571,2.58571428571,26.9571428571,7.62857142857,32.8,21.7,73.1
sj,1999,20,1999-05-21,,0.09066667,0.1944714,0.1691571,33.82,299.775714286,299.935714286,295.268571429,302.6,297.0,22.1,76.5985714286,33.82,16.6514285714,3.18571428571,27.8285714286,7.32857142857,33.3,23.3,14.3
sj,1999,21,1999-05-28,,0.0738,0.1826429,0.1713286,15.26,300.052857143,300.164285714,296.214285714,302.4,298.6,18.64,79.7171428571,15.26,17.6385714286,2.21428571429,28.3857142857,6.74285714286,33.3,24.4,8.2
sj,1999,24,1999-06-18,,0.06756667,0.1184833,0.09545,115.14,300.351428571,300.378571429,296.54,302.3,298.7,30.1,79.75,115.14,17.9828571429,2.38571428571,27.7,6.84285714286,31.7,23.9,17.6
sj,1999,25,1999-06-25,,0.01375,0.0755,0.13685,96.93,299.367142857,299.314285714,296.415714286,301.6,297.9,81.61,83.9614285714,96.93,17.8442857143,1.94285714286,27.2142857143,5.88571428571,31.1,22.8,60.6
